N,xMin,yMin,erro
10,4.0,0.99956235638312,3.69756235638312
20,3.789473684210526,-0.6412918571848407,2.0567081428151592
30,3.724137931034483,-2.4782046422515998,0.2197953577484002
40,3.6923076923076925,-2.6803631035636135,0.01763689643638644
50,3.673469387755102,-2.458937493368716,0.23906250663128414
60,3.6610169491525424,-2.193017386083163,0.504982613916837
70,3.652173913043478,-1.9603856835352405,0.7376143164647595
80,3.6455696202531644,-1.7693652868705905,0.9286347131294095
90,3.741573033707865,-2.094558336208237,0.603441663791763
100,3.7272727272727275,-2.421186900192458,0.276813099807542
